id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
829103742393974785,829103742393974785,2017-02-07 23:05:10 UTC,2017-02-07,23:05:10,+0000,78361556,ecowatch,EcoWatch,,"Tesla, Patagonia Join Growing Resistance Against Trump  https://t.co/ve8fywZrtX @BusinessGreen @Ethical_Corp",en,"[{'screen_name': 'businessgreen', 'name': 'businessgreen', 'id': '17683482'}]",['http://ow.ly/hPhl308M7AX'],[],2,47,81,[],[],https://twitter.com/EcoWatch/status/829103742393974785,False,,0,,,,,,,,[],,,,
829098677255933953,829098677255933953,2017-02-07 22:45:03 UTC,2017-02-07,22:45:03,+0000,816653,techcrunch,TechCrunch,,Tesla Model S P100D scores 2.28-second 0-60 mph time in new Motor Trend test  https://t.co/spJ4awVh8C,en,[],['http://tcrn.ch/2jYftDJ'],[],1,54,76,[],[],https://twitter.com/TechCrunch/status/829098677255933953,False,,0,,,,,,,,[],,,,
829098262913306625,829098262913306625,2017-02-07 22:43:24 UTC,2017-02-07,22:43:24,+0000,2148233600,electrekco,Electrek.co,,Tesla battery research partner working on longevity breakthrough says work is going into the company's products  https://t.co/OCaWwr8ZAS  https://t.co/WAjqTvXswd,en,[],['https://electrek.co/2017/02/07/tesla-battery-research-longevity-breakthrough-products/'],['https://pbs.twimg.com/media/C4GMdtaUoAAPr1F.jpg'],2,18,75,[],[],https://twitter.com/ElectrekCo/status/829098262913306625,False,,1,https://pbs.twimg.com/media/C4GMdtaUoAAPr1F.jpg,,,,,,,[],,,,
829082993834721280,829082993834721280,2017-02-07 21:42:44 UTC,2017-02-07,21:42:44,+0000,14372486,engadget,Engadget,,Tesla Model S breaks acceleration record with Ludicrous Mode  https://t.co/7ONF6Iw6W3  https://t.co/w82HX1SPxx,en,[],['http://engt.co/2llh0zL'],['https://pbs.twimg.com/media/C4F-lpdWcAAXQQa.jpg'],1,60,77,[],[],https://twitter.com/engadget/status/829082993834721280,False,,1,https://pbs.twimg.com/media/C4F-lpdWcAAXQQa.jpg,,,,,,,[],,,,
829074655369641984,829074655369641984,2017-02-07 21:09:35 UTC,2017-02-07,21:09:35,+0000,42703075,cnntech,CNN Tech,,"The Tesla Model S is now the world's quickest car. Yes, Tesla:  https://t.co/wvhNryOpPZ  https://t.co/AsuSgzTEZ2",en,[],['http://cnnmon.ie/2kjuKuM'],['https://pbs.twimg.com/media/C4F3AQ0WIAAKrcG.jpg'],3,137,231,[],[],https://twitter.com/cnntech/status/829074655369641984,False,,1,https://pbs.twimg.com/media/C4F3AQ0WIAAKrcG.jpg,,,,,,,[],,,,
829061513570816000,829061513570816000,2017-02-07 20:17:22 UTC,2017-02-07,20:17:22,+0000,3297218579,damirui,Damián Ruiz,,"Nuevo tesla, de 0-100 km/h en 2.3 SEGUNDOS 😨😮  https://t.co/bqK6qe0bh0",es,[],['https://twitter.com/elonmusk/status/828981873086865410'],[],8,27,182,[],[],https://twitter.com/DamiRui/status/829061513570816000,False,https://twitter.com/elonmusk/status/828981873086865410,0,,,,,,,,[],,,,
829050699153448960,829050699153448960,2017-02-07 19:34:24 UTC,2017-02-07,19:34:24,+0000,3239203002,whatsinside,WHAT'S INSIDE?,,"Red eye last night, came home to a dead Tesla battery. Haha! Towed it home. New family video is up, check it out while we take naps👍🏻",en,[],[],[],1,8,109,[],[],https://twitter.com/whatsinside/status/829050699153448960,False,,0,,,,,,,,[],,,,
829009109290717185,829009109290717185,2017-02-07 16:49:08 UTC,2017-02-07,16:49:08,+0000,2148233600,electrekco,Electrek.co,,"Tesla Model 3 top battery pack option will be lower than 100 kWh, says Elon Musk  https://t.co/DN27wbvvCz  https://t.co/0FOM3QX6aB",en,[],['https://electrek.co/2017/02/07/tesla-model-3-battery-pack-option-elon-musk/'],['https://pbs.twimg.com/media/C4E7XWZUcAAl4nh.jpg'],2,38,83,[],[],https://twitter.com/ElectrekCo/status/829009109290717185,False,,1,https://pbs.twimg.com/media/C4E7XWZUcAAl4nh.jpg,,,,,,,[],,,,
829007067985874946,829007067985874946,2017-02-07 16:41:01 UTC,2017-02-07,16:41:01,+0000,91478624,forbes,Forbes,,Elon Musk’s Tesla and SpaceX are now backing a legal fight to overturn Trump’s immigration ban  https://t.co/XrEoBz1m36  https://t.co/C0DLRsT0UJ,en,[],['http://on.forbes.com/60178TctF'],['https://pbs.twimg.com/media/C4E5iJbXAAEOTP5.jpg'],20,85,147,[],[],https://twitter.com/Forbes/status/829007067985874946,False,,1,https://pbs.twimg.com/media/C4E5iJbXAAEOTP5.jpg,,,,,,,[],,,,
828999653886550018,828981873086865410,2017-02-07 16:11:34 UTC,2017-02-07,16:11:34,+0000,44196397,elonmusk,Elon Musk,,"@jovanik21 Also, Tesla service can remove front trunk liner if you don't use it and improve performance further",en,[],[],[],18,21,352,[],[],https://twitter.com/elonmusk/status/828999653886550018,False,,0,,,,,,,,"[{'screen_name': 'jovanik21', 'name': 'Nik Jovanovic', 'id': '520969272'}]",,,,
